[ 2017-07-12 09:09:37 ]ERROR : 
[ 2017-07-12 09:15:35 ]ERROR : 
[ 2017-07-12 09:15:43 ]ERROR : 
[ 2017-07-12 09:16:40 ]ERROR : 
[ 2017-07-12 09:17:36 ]ERROR : S
[ 2017-07-12 09:31:52 ]ERROR : S
[ 2017-07-12 10:47:12 ]ERROR : S
[ 2017-07-12 10:49:15 ]ERROR : S
[ 2017-07-12 10:59:03 ]ERROR : S
[ 2017-07-12 10:59:08 ]ERROR : S
[ 2017-07-12 11:14:18 ]ERROR : S
[ 2017-07-12 11:14:36 ]ERROR : S
[ 2017-07-12 11:16:39 ]ERROR : S
[ 2017-07-12 11:26:39 ]ERROR : S
[ 2017-07-12 13:47:43 ]ERROR : S
[ 2017-07-12 13:52:31 ]ERROR : S
[ 2017-07-12 13:53:07 ]ERROR : S
[ 2017-07-12 13:53:54 ]ERROR : S
[ 2017-07-12 13:54:56 ]ERROR : S
[ 2017-07-12 14:08:11 ]ERROR : S
[ 2017-07-12 14:10:02 ]ERROR : S
[ 2017-07-12 14:11:18 ]ERROR : S
[ 2017-07-12 14:14:31 ]ERROR : S
[ 2017-07-12 14:15:23 ]ERROR : S
[ 2017-07-12 15:06:26 ]ERROR : S
[ 2017-07-12 15:29:24 ]ERROR : S
[ 2017-07-12 15:29:53 ]ERROR : S
[ 2017-07-12 15:30:59 ]ERROR : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'test.runoob_tbssl' doesn't exist
[ 2017-07-12 15:34:06 ] ERROR : SQLSTATE[42S02]: Base table or view not found: 1146 Table 'test.runoob_tbssl' doesn't exist
[ 2017-07-12 15:45:35 ]ERROR : SQLSTATE[42S22]: Column not found: 1054 Unknown column 'id' in 'field list'
[ 2017-07-12 16:48:49 ]INFO : test启动成功
[ 2017-07-12 16:48:49 ]INFO : test脚本已经退出
[ 2017-07-12 16:50:46 ]INFO : test启动成功
[ 2017-07-12 16:58:11 ]INFO : test脚本启动成功
[ 2017-07-12 16:58:11 ]INFO : test脚本已经退出
[ 2017-07-12 17:09:04 ]INFO : test脚本启动成功
[ 2017-07-12 17:10:42 ]INFO : test脚本启动成功
[ 2017-07-12 17:17:38 ]INFO : test脚本启动成功
[ 2017-07-12 17:18:07 ]INFO : test脚本启动成功
[ 2017-07-12 17:20:22 ]INFO : test脚本启动成功
[ 2017-07-12 17:21:20 ]INFO : test脚本启动成功
[ 2017-07-12 17:21:20 ]INFO : test脚本已经退出
[ 2017-07-12 17:21:59 ]INFO : test脚本启动成功
[ 2017-07-12 17:25:36 ]INFO : test脚本启动成功
[ 2017-07-12 17:25:36 ]INFO : test脚本已经退出
[ 2017-07-12 17:25:44 ]INFO : test脚本启动成功
[ 2017-07-12 17:28:05 ]INFO : test脚本启动成功
[ 2017-07-12 17:28:05 ]INFO : test脚本已经退出
[ 2017-07-12 17:28:10 ]INFO : test脚本启动成功
[ 2017-07-12 17:28:31 ]INFO : test脚本启动成功
[ 2017-07-12 17:28:31 ]INFO : test脚本已经退出
[ 2017-07-12 17:28:37 ]INFO : test脚本启动成功
[ 2017-07-12 17:31:31 ]INFO : test脚本启动成功
[ 2017-07-12 17:31:31 ]INFO : test脚本已经退出
[ 2017-07-12 17:31:35 ]INFO : test脚本启动成功
